smiles,Mol ID,canonical_smiles
O=C(NC1(C2=CSC(C3=CC=C4OCCOC4=C3)=N2)CC1)C1=CN=C2N=CNC(=O)C2=C1,MOL_653,O=C(NC1(c2csc(-c3ccc4c(c3)OCCO4)n2)CC1)c1cnc2nc[nH]c(=O)c2c1
Cc1cc(-c2ccc(O)c(C)n2)cc(C)c1N,MOL_654,Cc1cc(-c2ccc(O)c(C)n2)cc(C)c1N
COC(=O)C1=NC(C2=CN(CC3=CC=C(C(=O)N4CCOC(CC5CCCC5)C4)C=C3)N=N2)=C(C)O1,MOL_655,COC(=O)c1nc(-c2cn(Cc3ccc(C(=O)N4CCOC(CC5CCCC5)C4)cc3)nn2)c(C)o1
COC(=O)C1CCCN2N=C(C3=CC=CC(NC(=O)C4=CSC(C5=CC=CO5)=N4)=C3)N=C12,MOL_656,COC(=O)C1CCCn2nc(-c3cccc(NC(=O)c4csc(-c5ccco5)n4)c3)nc21
COC1=CC=CC(C2=NC(CN3CCOC(C(=O)NC4=CC=CC=C4)C3)=CS2)=C1,MOL_657,COc1cccc(-c2nc(CN3CCOC(C(=O)Nc4ccccc4)C3)cs2)c1
COC1=CC=C(C2=C(C)SC(C3=CNC=N3)=N2)C=C1,MOL_658,COc1ccc(-c2nc(-c3c[nH]cn3)sc2C)cc1
CC1=CNC2=CC(C3=CSC(F)=N3)=CC=C12,MOL_659,Cc1c[nH]c2cc(-c3csc(F)n3)ccc12
CN1CCCC1C1=NNC(C(=O)N2CCO[C@@H](C3=CN(CC4=CC=C(O)N=N4)N=N3)C2)=C1,MOL_660,CN1CCCC1c1cc(C(=O)N2CCO[C@@H](c3cn(Cc4ccc(O)nn4)nn3)C2)[nH]n1
COC1=CC=CC=C1C(OC)C1=NOC(C2=NC=NC3=C2C=CN3)=N1,MOL_661,COc1ccccc1C(OC)c1noc(-c2ncnc3[nH]ccc23)n1
Cc1cc(-c2ccc3sc(C)nc3c2)cc(N)n1,MOL_662,Cc1cc(-c2ccc3sc(C)nc3c2)cc(N)n1
Cc1nc(-c2cc(O)c(Cl)c(Cl)c2)ccc1N,MOL_663,Cc1nc(-c2cc(O)c(Cl)c(Cl)c2)ccc1N
CC1=CC2=C(C=C1C)NC(NC(=O)C1=NOC(C3=CC(F)=CC=C3F)=N1)=N2,MOL_664,Cc1cc2nc(NC(=O)c3noc(-c4cc(F)ccc4F)n3)[nH]c2cc1C
CCC1=NC(C2=CN(C3=CC=CC(C(=O)N4CCOC5(CCCSC5)C4)=C3)N=N2)=CS1,MOL_665,CCc1nc(-c2cn(-c3cccc(C(=O)N4CCOC5(CCCSC5)C4)c3)nn2)cs1
CS(=O)(=O)c1ccc2nc(NC(=O)c3cnc(-c4cccc(F)c4)s3)sc2c1,MOL_666,CS(=O)(=O)c1ccc2nc(NC(=O)c3cnc(-c4cccc(F)c4)s3)sc2c1
