smiles,Similarity,MW,LogP,HBD,HBA,TPSA,RotB
CN1CCCC1C1=NNC(C(=O)NC2=CC=C(NC3=NC=CC=N3)C=C2)=C1,0.21348314606741572,363.42500000000007,2.962300000000001,3.0,6.0,98.83,5.0
CN1CCOC(C2=NC(C3=CC=NC4=C3C=CN4)=NO2)C1,0.21348314606741572,285.3070000000001,1.6159999999999999,1.0,6.0,80.07000000000001,2.0
COC1=CC=CC=C1[C@@H](C)NC1=NC(C)=CC(N2CC3=CC(F)=CN=C3C2)=N1,0.2127659574468085,379.43900000000014,4.021020000000003,1.0,6.0,63.17,5.0
CN1C=C(C2=NC(C(=O)N3CCO[C@@H](CNC4=NC=CC(C5=CC=CC=C5)=N4)C3)=CO2)C=N1,0.21153846153846154,445.4830000000001,2.4852,1.0,8.0,111.2,6.0
COC1=CC=CC=C1C(C)NC1=NC(N2CC3=CN=C(N)N=C3C2)=NC(C2=CC=CC=C2)=N1,0.21052631578947367,440.5110000000002,3.612700000000002,2.0,9.0,114.97,6.0
COC1=CC=CC=C1C(C)NC1=C2N=CN(C)C2=NC(N2CCC3=NC(C)=NC=C3C2)=N1,0.21,430.51600000000025,3.206120000000001,1.0,8.0,93.88,5.0
COC1=CC=CC=C1C1=NC(C(=O)N2CCC(CNC3=CC(C)=CC=N3)C2)=CS1,0.21,408.52700000000004,4.096320000000003,1.0,6.0,67.35,6.0
COC1=CC=CC=C1C(C)NC1=NC2=C(NC=C2)C(N2CCC3=NC=NC=C3C2)=N1,0.21,401.4740000000002,3.492300000000002,2.0,7.0,91.85,5.0
CC1=CC=C2C(=O)C(C(=O)N[C@H](C3=CSC(C4=CC=NC=N4)=N3)C(C)C)=CN(C)C2=N1,0.21,434.52500000000015,3.2825200000000017,1.0,7.0,102.66000000000001,5.0
COC1=CN=CC(C2=CNC3=NC=C(F)C=C23)=N1,0.20987654320987653,244.22899999999998,2.1676,1.0,4.0,63.69,2.0
CC(=O)C1=CN(C)C(C(=O)N(C)CC2CN(C3=NC=CC(C4=CC=CS4)=N3)CCO2)=C1,0.20952380952380953,439.54100000000017,2.723600000000001,0.0,7.0,80.56000000000002,6.0
COC1=CC=CC=C1C(C)NC1=NC2=C(F)C=C(F)C=C2C(N2CCC(C3=NC(N)=NC(O)=C3)C2)=N1,0.20952380952380953,493.5180000000003,4.161400000000002,3.0,9.0,122.31,6.0
COC1=CN=CC=C1CNC1=NC(N[C@@H](C)C2=CC=C(C3=CC=CC=C3)C=C2)=NC(N)=N1,0.2087912087912088,427.5120000000001,4.309600000000001,3.0,8.0,110.87,8.0
CC1=CC=NC(C2=CSC(C(NC(=O)C3=CNC4=NC=CN=C34)C3CC3)=N2)=C1,0.20833333333333334,390.47200000000015,3.6659200000000016,2.0,6.0,96.45,5.0
CCC1=NN=C2CN(C3=C4C=NN(C)C4=NC(N[C@@H](C)C4=CC=CC=C4OC)=N3)CCN12,0.2079207920792079,433.52000000000027,2.719100000000001,1.0,8.0,98.81,6.0
COC(=O)C1=C(C(=O)N2CCOC(CC3=CN(C4=CC=CC5=CC=NC=C45)N=N3)C2)OC=C1,0.20754716981132076,447.45100000000014,2.2787999999999995,0.0,8.0,112.58,5.0
